Roadway Name,Date,AM,PM
QUINCY ST,2012-01-10,41.541666666666664,77.16666666666666
RALPH AVE,2012-01-10,137.41666666666669,220.45833333333331
RICHMOND AVENUE,2012-01-10,339.75,640.0833333333334
RICHMOND ROAD,2012-01-10,246.625,427.6666666666667
ROCKAWAY AVE,2012-01-10,144.375,218
Richmond Ter,2012-01-10,217.625,342.08333333333337
SMITH ST,2012-01-10,231.08333333333334,310.0833333333333
STUYVESANT AVENUE,2012-01-10,134.5,271.75
TARGEE ST,2012-01-10,519.3333333333334,618.5
THROOP AVENUE,2012-01-10,152.79166666666669,231.75
TODT HILL RD,2012-01-10,275.25,513.625
TOMPKINS AVE,2012-01-10,232.41666666666666,429.5
TRAVIS AVENUE,2012-01-10,205.41666666666669,407.0833333333333
UNION AVENUE,2012-01-10,150.33333333333334,234.33333333333331
UNION ST,2012-01-10,135.7222222222222,233.38888888888889
VAN BRUNT ST,2012-01-10,156.83333333333334,168
VAN DUZER STREET,2012-01-10,261.5416666666667,429.7916666666667
VANDERBILT AVE,2012-01-10,181.58333333333334,279.0833333333333
VICTORY BOULEVARD,2012-01-10,307.0833333333333,549.6666666666666
WASHINGTON AVE,2012-01-10,71.79166666666667,120.875
WILLOWBROOK ROAD,2012-01-10,31.958333333333332,50.208333333333336
WOODROW ROAD,2012-01-10,118.83333333333334,205.29166666666666
WOOLLEY AVENUE,2012-01-10,267.4583333333333,418.5416666666667
6 AVE,2012-01-11,190.41666666666666,266.7291666666667
AMBOY ROAD,2012-01-11,211.16666666666669,380.625
ANNADALE ROAD,2012-01-11,58.54166666666667,98.45833333333334
ARDEN AVENUE,2012-01-11,167.625,310.375
ARTHUR KILL ROAD,2012-01-11,163.97916666666666,254.79166666666666
Amboy Rd,2012-01-11,275.58333333333337,466.54166666666663
BAY ST,2012-01-11,228.125,371.9166666666667
BEACH STREET,2012-01-11,58.33333333333333,106.83333333333333
BLOOMINGDALE ROAD,2012-01-11,145.33333333333331,285.125
BRADLEY AVENUE,2012-01-11,166.625,319.9166666666667
BRIELLE AVENUE,2012-01-11,119.5,210.33333333333331
CASTLETON AVENUE,2012-01-11,164,275.4583333333333
CLOVE RD,2012-01-11,165.29166666666669,282.75
DRUMGOOLE ROAD EAST,2012-01-11,47.791666666666664,73.45833333333334
DRUMGOOLE ROAD WEST,2012-01-11,53.666666666666664,110
